INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ] l2-l1  -966104.600 - -966156.205 = 51.605 
INFO:root:[ iteration ]  step 61
INFO:root:[ iteration ] l2-l1  -966053.649 - -966104.600 = 50.951 
INFO:root:[ iteration ]  step 62
INFO:root:[ iteration ] l2-l1  -965999.559 - -966053.649 = 54.090 
INFO:root:[ iteration ]  step 63
INFO:root:[ iteration ] l2-l1  -965946.533 - -965999.559 = 53.026 
INFO:root:[ iteration ]  step 64
INFO:root:[ iteration ] l2-l1  -965898.560 - -965946.533 = 47.972 
INFO:root:[ iteration ]  step 65
INFO:root:[ iteration ] l2-l1  -965854.457 - -965898.560 = 44.103 
INFO:root:[ iteration ]  step 66
INFO:root:[ iteration ] l2-l1  -965811.931 - -965854.457 = 42.526 
INFO:root:[ iteration ]  step 67
INFO:root:[ iteration ] l2-l1  -965766.805 - -965811.931 = 45.126 
INFO:root:[ iteration ]  step 68
INFO:root:[ iteration ] l2-l1  -965720.088 - -965766.805 = 46.717 
INFO:root:[ iteration ]  step 69
INFO:root:[ iteration ] l2-l1  -965676.167 - -965720.088 = 43.921 
INFO:root:[ iteration ]  step 70
INFO:root:[ iteration ] l2-l1  -965635.417 - -965676.167 = 40.750 
INFO:root:[ iteration ]  step 71
INFO:root:[ iteration ] l2-l1  -965598.205 - -965635.417 = 37.212 
INFO:root:[ iteration ]  step 72
INFO:root:[ iteration ] l2-l1  -965561.381 - -965598.205 = 36.824 
INFO:root:[ iteration ]  step 73
INFO:root:[ iteration ] l2-l1  -965525.942 - -965561.381 = 35.438 
INFO:root:[ iteration ]  step 74
INFO:root:[ iteration ] l2-l1  -965492.351 - -965525.942 = 33.591 
INFO:root:[ iteration ]  step 75
INFO:root:[ iteration ] l2-l1  -965459.404 - -965492.351 = 32.947 
INFO:root:[ iteration ]  step 76
INFO:root:[ iteration ] l2-l1  -965427.293 - -965459.404 = 32.111 
INFO:root:[ iteration ]  step 77
INFO:root:[ iteration ] l2-l1  -965396.720 - -965427.293 = 30.573 
INFO:root:[ iteration ]  step 78
INFO:root:[ iteration ] l2-l1  -965366.572 - -965396.720 = 30.148 
INFO:root:[ iteration ]  step 79
INFO:root:[ iteration ] l2-l1  -965332.873 - -965366.572 = 33.700 
INFO:root:[ iteration ]  step 80
INFO:root:[ iteration ] l2-l1  -965295.613 - -965332.873 = 37.260 
INFO:root:[ iteration ]  step 81
INFO:root:[ iteration ] l2-l1  -965259.930 - -965295.613 = 35.682 
INFO:root:[ iteration ]  step 82
INFO:root:[ iteration ] l2-l1  -965226.707 - -965259.930 = 33.224 
INFO:root:[ iteration ]  step 83
INFO:root:[ iteration ] l2-l1  -965191.868 - -965226.707 = 34.838 
INFO:root:[ iteration ]  step 84
INFO:root:[ iteration ] l2-l1  -965153.506 - -965191.868 = 38.362 
INFO:root:[ iteration ]  step 85
INFO:root:[ iteration ] l2-l1  -965113.474 - -965153.506 = 40.032 
INFO:root:[ iteration ]  step 86
INFO:root:[ iteration ] l2-l1  -965078.677 - -965113.474 = 34.797 
INFO:root:[ iteration ]  step 87
INFO:root:[ iteration ] l2-l1  -965052.524 - -965078.677 = 26.152 
INFO:root:[ iteration ]  step 88
INFO:root:[ iteration ] l2-l1  -965029.021 - -965052.524 = 23.504 
INFO:root:[ iteration ]  step 89
INFO:root:[ iteration ] l2-l1  -965002.800 - -965029.021 = 26.221 
INFO:root:[ iteration ]  step 90
INFO:root:[ iteration ] l2-l1  -964976.059 - -965002.800 = 26.741 
INFO:root:[ iteration ]  step 91
INFO:root:[ iteration ] l2-l1  -964950.378 - -964976.059 = 25.681 
INFO:root:[ iteration ]  step 92
INFO:root:[ iteration ] l2-l1  -964925.601 - -964950.378 = 24.778 
INFO:root:[ iteration ]  step 93
INFO:root:[ iteration ] l2-l1  -964901.442 - -964925.601 = 24.159 
